id,ciudad,zona,latitud,longitud
286,CALI,Sur,3.356643423,-76.52092445
287,CALI,Sur,3.37027235,-76.52646053
288,CALI,Sur,3.37027235,-76.52646053
289,CALI,Sur,3.384645439,-76.53339136
290,CALI,Sur,3.384645439,-76.53339136
291,CALI,Sur,3.343410597,-76.52116049
292,CALI,Sur,3.343410597,-76.52116049
293,CALI,Sur,3.371948507,-76.51130605
294,CALI,Sur,3.371948507,-76.51130605
295,CALI,Sur,3.351443495,-76.51487339
296,CALI,Sur,3.351443495,-76.51487339
297,CALI,Sur,3.378776275,-76.51131142
298,CALI,Sur,3.378776275,-76.51131142
299,CALI,Oeste,3.446153864,-76.54676495
300,CALI,Sur,3.40963183,-76.54800404
301,CALI,Sur,3.40963183,-76.54800404
302,CALI,Norte,3.463490121,-76.53285492
303,CALI,Sur,3.410236936,-76.55846465
304,CALI,Sur,3.410236936,-76.55846465
305,CALI,Oeste,3.442778225,-76.5547632
306,CALI,Sur,3.373174831,-76.5225767
307,CALI,Sur,3.373174831,-76.5225767
308,CALI,Sur,3.3699082,-76.50676239
309,CALI,Sur,3.3699082,-76.50676239
310,CALI,Norte,3.495039014,-76.50311459
311,CALI,Sur,3.379568828,-76.51296366
312,CALI,Sur,3.379568828,-76.51296366
313,CALI,Sur,3.360654471,-76.49873722
314,CALI,Sur,3.360654471,-76.49873722
315,CALI,Sur,3.373464008,-76.51103247
316,CALI,Sur,3.373464008,-76.51103247
317,CALI,Sur,3.343035727,-76.52245868
318,CALI,Sur,3.343035727,-76.52245868
319,CALI,Sur,3.361746929,-76.50742758
320,CALI,Sur,3.361746929,-76.50742758
321,CALI,Sur,3.41092772,-76.52596701
322,CALI,Sur,3.41092772,-76.52596701
323,CALI,Sur,3.419383094,-76.54148627
324,CALI,Sur,3.419383094,-76.54148627
325,CALI,Sur,3.402702536,-76.52871359
326,CALI,Sur,3.402702536,-76.52871359
327,CALI,Norte,3.462419197,-76.52570952
328,CALI,Sur,3.370872125,-76.52938951
329,CALI,Sur,3.370872125,-76.52938951
330,CALI,Norte,3.475698576,-76.52476538
331,CALI,Norte,3.461017622,-76.52988572
332,CALI,Norte,3.470564886,-76.52690712
333,CALI,Norte,3.462290685,-76.52708281
334,CALI,Oeste,3.475355884,-76.52184714
335,CALI,Sur,3.457535765,-76.52528036
336,CALI,Sur,3.457535765,-76.52528036
337,CALI,Oriente,3.43275946,-76.51129533
338,CALI,Sur,3.457193067,-76.52322043
339,CALI,Sur,3.457193067,-76.52322043
340,CALI,Sur,3.422831622,-76.54655564
341,CALI,Sur,3.422831622,-76.54655564
342,CALI,Norte,3.471380121,-76.52706403
343,CALI,Norte,3.484073056,-76.50326479
344,CALI,Norte,3.482209687,-76.52596701
345,CALI,Oriente,3.428577358,-76.46494139
346,CALI,Norte,3.498658609,-76.50674093
347,CALI,Norte,3.487692693,-76.52322043
348,CALI,Oeste,3.47741203,-76.52665365
349,CALI,Norte,3.487692693,-76.52322043
350,CALI,Sur,3.487692693,-76.52322043
351,CALI,Sur,3.487692693,-76.52322043
352,CALI,Norte,3.452052584,-76.52322043
353,CALI,Oriente,3.419152834,-76.4753269
354,CALI,Sur,3.460105995,-76.53120268
355,CALI,Sur,3.460105995,-76.53120268
356,CALI,Norte,3.475168475,-76.50838781
357,CALI,Norte,3.488881387,-76.5099274
358,CALI,Oeste,3.409219501,-76.564564
359,CALI,Norte,3.455318936,-76.53854389
360,CALI,Oeste,3.44826146,-76.54800404
361,CALI,Sur,3.377737386,-76.51025999
362,CALI,Sur,3.377737386,-76.51025999
363,CALI,Sur,3.353486519,-76.50077034
364,CALI,Sur,3.353486519,-76.50077034
365,CALI,Sur,3.382749746,-76.50978792
366,CALI,Sur,3.382749746,-76.50978792
367,CALI,Oriente,3.440106208,-76.47720445
368,CALI,Sur,3.36148988,-76.51090372
369,CALI,Sur,3.36148988,-76.51090372
370,CALI,Sur,3.360536656,-76.50341499
371,CALI,Sur,3.360536656,-76.50341499
